LUP_Code,TBL_Code,TBL_Name,TBL_Desc,Retired from
MHSARV000,MHS000,Header,MHS000: Header,
MHSARV001,MHS001,Master Patient Index,MHS001: Master Patient Index,
MHSARV002,MHS002,GP Practice Registration,MHS002: GP Practice Registration,
MHSARV003,MHS003,Accommodation Status,MHS003: Accommodation Status,
MHSARV004,MHS004,Employment Status,MHS004: Employment Status,
MHSARV005,MHS005,Patient Indicators,MHS005: Patient Indicators,
MHSARV006,MHS006,Mental Health Care Coordinator,MHS006: Mental Health Care Coordinator,
MHSARV007,MHS007,Disability Type,MHS007: Disability Type,
MHSARV008,MHS008,Care Plan Type,MHS008: Care Plan Type,
MHSARV009,MHS009,Care Plan Agreement,MHS009: Care Plan Agreement,
MHSARV010,MHS010,Assistive Technology To Support Disability Type,MHS010: Assistive Technology To Support Disability Type,
MHSARV011,MHS011,Social and Personal Circumstances,MHS011: Social and Personal Circumstances,
MHSARV012,MHS012,Overseas Visitor Charging Category,MHS012: Overseas Visitor Charging Category,
MHSARV013,MHS013,MH Currency Model,MHS013: MH Currency Model,
MHSARV014,MHS014,eMED3 Fit Note,MHS014: eMED3 Fit Note,
MHSARV101,MHS101,Service or Team Referral,MHS101: Service or Team Referral,
MHSARV102,MHS102,Other Service or Team Type,MHS102: Other Service or Team Type,
MHSARV103,MHS103,Other Reason for Referral,MHS103: Other Reason for Referral,
MHSARV104,MHS104,Referral to Treatment (RTT),MHS104: Referral to Treatment (RTT),
MHSARV105,MHS105,Onward Referral,MHS105: Onward Referral,
MHSARV106,MHS106,Discharge Plan Agreement,MHS106: Discharge Plan Agreement,
MHSARV107,MHS107,Medication Prescription,MHS107: Medication Prescription,
MHSARV201,MHS201,Care Contact,MHS201: Care Contact,
MHSARV202,MHS202,Care Activity,MHS202: Care Activity,
MHSARV203,MHS203,Other in Attendance,MHS203: Other in Attendance,
MHSARV204,MHS204,Indirect Activity,MHS204: Indirect Activity,
MHSARV205,MHS205,Patient Self-Directed Digital Intervention,MHS205: Patient Self-Directed Digital Intervention,
MHSARV206,MHS206,Staff Activity,MHS206: Staff Activity,
MHSARV301,MHS301,Group Session,MHS301: Group Session,
MHSARV302,MHS302,Mental Health Drop In Contact,MHS302: Mental Health Drop In Contact,
MHSARV401,MHS401,Mental Health Act Legal Status Classification Assignment Period,MHS401: Mental Health Act Legal Status Classification Assignment Period,
MHSARV402,MHS402,Mental Health Responsible Clinician Assignment Period,MHS402: Mental Health Responsible Clinician Assignment Period,
MHSARV403,MHS403,Conditional Discharge,MHS403: Conditional Discharge,
MHSARV404,MHS404,Community Treatment Order,MHS404: Community Treatment Order,
MHSARV405,MHS405,Community Treatment Order Recall,MHS405: Community Treatment Order Recall,
MHSARV501,MHS501,Hospital Provider Spell,MHS501: Hospital Provider Spell,
MHSARV502,MHS502,Ward Stay,MHS502: Ward Stay,
MHSARV503,MHS503,Assigned Care Professional,MHS503: Assigned Care Professional,
MHSARV504,MHS504,Delayed Discharge,MHS504: Delayed Discharge,
MHSARV505,MHS505,Restrictive Intervention Incident,MHS505: Restrictive Intervention Incident,
MHSARV506,MHS506,Assault,MHS506: Assault,
MHSARV507,MHS507,Self-Harm,MHS507: Self-Harm,
MHSARV509,MHS509,Home Leave,MHS509: Home Leave,
MHSARV510,MHS510,Mental Health Leave of Absence,MHS510: Mental Health Leave of Absence,
MHSARV511,MHS511,Mental Health Absence Without Leave,MHS511: Mental Health Absence Without Leave,
MHSARV512,MHS512,Hospital Provider Spell Commissioner Assignment Period,MHS512: Hospital Provider Spell Commissioner Assignment Period,
MHSARV513,MHS513,Substance Misuse,MHS513: Substance Misuse,
MHSARV514,MHS514,Mental Health Trial Leave,MHS514: Mental Health Trial Leave,
MHSARV515,MHS515,Restrictive Intervention Type,MHS515: Restrictive Intervention Type,
MHSARV516,MHS516,Police Assistance Request,MHS516: Police Assistance Request,
MHSARV517,MHS517,Specialised Mental Health Exceptional Package of Care (EPC),MHS517: Specialised Mental Health Exceptional Package of Care (EPC),
MHSARV518,MHS518,Clinically Ready for Discharge,MHS518: Clinically Ready for Discharge,
MHSARV601,MHS601,Medical History (Previous Diagnosis),MHS601: Medical History (Previous Diagnosis),
MHSARV602,MHS602,Unknown,MHS602: Unknown,
MHSARV603,MHS603,Provisional Diagnosis,MHS603: MHS603 Provisional Diagnosis,
MHSARV604,MHS604,Primary Diagnosis,MHS604: Primary Diagnosis,
MHSARV605,MHS605,Secondary Diagnosis,MHS605: Secondary Diagnosis,
MHSARV606,MHS606,Coded Scored Assessment (Referral),MHS606: Coded Scored Assessment (Referral),
MHSARV607,MHS607,Coded Scored Assessment (Care Activity),MHS607: Coded Scored Assessment (Care Activity),
MHSARV608,MHS608,Anonymous Self-Assessment,MHS608: Anonymous Self-Assessment,
MHSARV609,MHS609,Presenting Complaint,MHS609: Presenting Complaint,
MHSARV701,MHS701,Care Programme Approach (CPA) Care Episode,MHS701: Care Programme Approach (CPA) Care Episode,
MHSARV702,MHS702,Care Programme Approach (CPA) Review,MHS702: Care Programme Approach (CPA) Review,
MHSARV801,MHS801,ClusterTool,MHS801: ClusterTool,v6.0
MHSARV802,MHS802,ClusterAssess,MHS802: ClusterAssess,v6.0
MHSARV803,MHS803,CareCluster,MHS803: CareCluster,v6.0
MHSARV804,MHS804,FiveForensicPathways,MHS804: FiveForensicPathways,v6.0
MHSARV901,MHS901,Staff Details,MHS901: Staff Details,
MHSARV902,MHS902,Service or Team Details,MHS902: Service or Team Details,
MHSARV903,MHS903,Ward Details,MHS903: Ward Details,
